folder,min_train_loss,min_val_loss,min_val_mae,max_val_r2
runs-yolo12,125.9028629889855,60.945199966430664,5.655372977256775,-3.818820708552659
runs-yolov10n,116.7184406541861,42.72542762756348,4.336303281784057,-2.241180583251338
runs-yolov11n,112.71074070953406,22.769912481307983,2.732337737083435,-0.48338379202509785
runs-yolov11n-r-att-conv,108.60025500104977,19.464622020721436,2.747897505760193,-0.35978970100404317
runs-yolov8n,102.21330179617955,16.980114936828613,2.572873425483704,-0.21737756150385845
runs-yolov8n-r-att-conv,117.8900186098539,32.736769676208496,3.6072415590286253,-1.3644705923337295
