folder,min_train_loss,min_val_loss,min_val_mae,max_val_r2
runs-yolo12,2.2155871987342834,600.1425730387369,18.831338954526323,-2.2550895608251986
runs-yolov10n,2.45611439148585,643.6840392748514,18.766201884247536,-2.4136944331614503
runs-yolov11n,1.91031718537921,645.5942571957906,19.667189071344776,-2.4993701262636674
runs-yolov11n-r-att-conv,2.078732436611539,651.1803903579712,19.79898960091347,-2.5268345999026383
runs-yolov8n,2.1248246686799184,656.3970166842142,19.853752141775086,-2.5507532940054203
runs-yolov8n-r-att-conv,2.0227818744523183,641.1695834795634,19.505844898002092,-2.457836382819914
