folder,min_train_loss,min_val_loss,min_val_mae,max_val_r2
runs-yolo12,115.05543210873238,27.085517406463623,3.3770213603973387,-1.2605113835911728
runs-yolov10n,110.13025590089651,26.884666919708252,3.249857783317566,-0.9134273356668341
runs-yolov11n,110.28253864783507,17.111111640930176,2.5221447229385374,-0.1710195920353874
runs-yolov11n-r-att-conv,113.75366404423347,18.544554710388184,2.7665305376052856,-0.3019004224385693
runs-yolov8n,115.88922864657182,31.576332569122314,3.783694124221802,-1.5686833240883047
runs-yolov8n-r-att-conv,106.40283447962541,25.360156536102295,3.1324263334274294,-0.7539219027632929
