folder,min_train_loss,min_val_loss,min_val_mae,max_val_r2
runs-yolo11n,0.13290403366443657,0.8981970399618149,0.6779716098031332,0.5504103849048105
runs-yolov8,0.11231296190193721,0.34563516825437546,0.4475224988405095,0.8018143195899439
runs-yolov850,0.13966062715986655,0.41409560044606525,0.5146492165188457,0.75124418403218
runs_convnext_tiny,0.0001856485110196941,0.43091655274232227,0.4940503447554832,0.7604715130140705
runs_densenet121,0.057935458988967264,0.4402630527814229,0.49588526958643003,0.7602001188588015
runs_efficientnet_b0,1.856794541532343,7.753924051920573,2.253419911792112,-3.2027144962334466
runs_mobilenet_v3_large,0.08358511430296031,0.8641119400660197,0.7688053569128347,0.5196754462169798
runs_resnet50,0.017048494636335156,0.5301103591918945,0.5752075522444969,0.7016277599334614
runs_resnext50_32x4d,0.06258302300491116,0.561935951312383,0.5748589343802873,0.6850336873679281
runs_swin_tiny_patch4_window7_224,0.011925381438975985,0.3998309373855591,0.505084983138151,0.7772609226784093
runs_vgg16,0.09245952455834909,0.37155406673749286,0.454861044883728,0.79701804380608
runs_vit_base_patch16_224,0.0015730819088937344,0.6589467326800028,0.5853993199592413,0.6514619272919473
