folder,min_train_loss,min_val_loss,min_val_mae,max_val_r2
runs-yolo12,130.02156512553876,40.32941818237305,4.167201018333435,-2.026086766611852
runs-yolov10n,121.88059563820178,40.89713096618652,4.228317832946777,-2.092246030032532
runs-yolov11n,131.9008902953221,44.56191062927246,4.514947056770325,-2.473245155512806
runs-yolov11n-r-att-conv,133.50532909998526,51.34906578063965,5.0115453720092775,-3.0503260643572228
runs-yolov8n,142.45514165438138,62.2310266494751,5.847110855579376,-4.17946713864237
runs-yolov8n-r-att-conv,130.475260248551,53.46649742126465,4.953633522987365,-3.0593181228491133
