folder,min_train_loss,min_val_loss,min_val_mae,max_val_r2
runs-yolo12,95.31529017824393,8.898463726043701,2.3206650972366334,0.12664525789400616
runs-yolov10n,94.323914037301,9.06592082977295,2.331636118888855,0.05694312159980697
runs-yolov11n,96.66536244979271,9.13583755493164,2.356085419654846,0.04755927043495589
runs-yolov11n-r-att-conv,94.25870054616378,7.2940003871917725,2.2625786542892454,0.17459752063882206
runs-yolov8n,95.97822820223294,9.282488822937012,2.41944739818573,0.06707451806091191
runs-yolov8n-r-att-conv,95.13805241238039,9.616321563720703,2.4547385931015016,0.06039877429211704
